text,gloss
তারা ফুটবল খেলে বিকেলে।,তারা বিকেল ফুটবল খেলা
আমার পরিবারের সদস্যরা একসাথে খেতে পছন্দ করে।,আমার পরিবার সদস্য একসাথে খাওয়া পছন্দ করা
আমি প্রতিদিন সকালে পার্কে দৌড়াতে যাই।,আমি সকাল প্রতিদিন পার্ক দৌড়ানো যাওয়া।
ঈদে সবাই নতুন কাপড় পরে।,ঈদ সবাই নতুন কাপড় পরা।
সময় ঠিকভাবে ব্যবহার করা গুরুত্বপূর্ণ।,সময় ঠিকভাবে ব্যবহার করা গুরুত্বপূর্ণ
বন থেকে পাখির ডাক শোনা যায়।,বন পাখি ডাক শোনা।
আমি আজ নতুন বই পড়েছি।,আমি আজ নতুন বই পড়া।
তোমার আদর্শ কে?,তোমার আদর্শ ব্যক্তি কে (প্রশ্ন)?
আমার পছন্দের শখ বই পড়া।,আমার শখ বই পড়া।
ভিডিও গেম খেলার সময় অনেক মানুষ উত্তেজিত হয়ে পড়ে।,"ভিডিও গেম খেলা সময়, অনেক মানুষ উত্তেজনা অনুভব করা।"
"হাতির দাঁত আসলে দাঁত নয়, এটি বিশেষ ধরনের শুঁড়।","হাতি দাঁত আসলে দাঁত না, বিশেষ শুঁড় থাকা।"
সে নতুন ছবি আঁকছে।,সে নতুন ছবি আঁকা করছে।
আমি নতুন একটি অ্যাপ ব্যবহার করেছি।,আমি নতুন এক অ্যাপ ব্যবহার শেষ।
তুমি কি অফিসে আজ কাজ করবে?,তুমি আজ অফিস কাজ করা (প্রশ্ন)?
সে গল্প লিখতে ভালোবাসে।,সে গল্প লেখা ভালোবাসা।
আজকের খবরে অনেক গুরুত্বপূর্ণ আলোচনা হয়েছে।,আজ খবর মধ্যে অনেক গুরুত্বপূর্ণ আলোচনা হওয়া।
আমার বাবা মা আমাকে ভালোবাসেন।,আমার বাবা মা আমি ভালোবাসা।
পরিবেশ রক্ষার জন্য সবাইকে সচেতন হতে হবে।,সবাই পরিবেশ রক্ষা সচেতন হওয়া দরকার।
আমি টাকা জমাতে চেষ্টা করি।,আমি টাকা জমা চেষ্টা করা।
আমার প্রতিবেশীরা খুব বন্ধুত্বপূর্ণ।,আমার প্রতিবেশী বন্ধুত্বপূর্ণ হওয়া।
আমি নতুন একটি মোবাইল অ্যাপ ডাউনলোড করেছি।,আমি নতুন মোবাইল অ্যাপ ডাউনলোড করা।
একটি শামুক এক বছরে মাত্র ত্রিশ মিটার পথ অতিক্রম করতে পারে।,শামুক এক বছর ত্রিশ মিটার চলা পারে।
আমি আজ অফিসে কাজ শেষ করতে পারিনি।,আমি আজ অফিস কাজ শেষ করা পারা নাই।
কম্পিউটার আমার জীবন সহজ করেছে।,কম্পিউটার আমার জীবন সহজ করা শেষ।
আমি আজ একটি বই পড়ব।,আমি আজ বই পড়া।
তুমি কি খবর নিয়ে আলোচনা করছ?,তুমি খবর আলোচনা করা শেষ (প্রশ্ন)?
শিক্ষার্থীরা চিত্র আঁকতে এবং গল্প লিখতে পছন্দ করে।,শিক্ষার্থী চিত্র আঁকা গল্প লেখা পছন্দ করা।
পূজা উপলক্ষে সবাই মন্দিরে যায়।,পূজা সময় সবাই মন্দির যাওয়া।
তারা ফুটবল খেলছে।,আজ তারা ফুটবল খেলা।
আমি নতুন জামা কিনতে বাজারে গিয়েছিলাম।,গত সময় আমি নতুন জামা কিনতে বাজার যাওয়া।
সে সামাজিক মিডিয়াতে ছবি পোস্ট করে।,সে সামাজিক মিডিয়া ছবি পোস্ট করা।
আমার শৈশবের প্রিয় স্মৃতিগুলো এখনো মনে পড়ে।,আমার শৈশব প্রিয় স্মৃতি এখনো মনে পড়া।
আমি আজ বাসে অফিসে যাব।,আমি আজ বাস অফিস যাওয়া করব।
প্রতিদিন সকালে পাড়ার মানুষরা পার্কে হাঁটতে যায়।,"প্রতিদিন সকাল, পাড়া মানুষ পার্ক হাঁটা যাওয়া"
আমি ছোটবেলা থেকে গল্প লিখতে পছন্দ করি।,আমি ছোটবেলা থেকে গল্প লেখা পছন্দ করা
আমার একটি বিড়াল আছে।,আমার এক বিড়াল থাকা।
তুমি কি এই সিনেমাটা দেখেছো?,তুমি এই সিনেমা দেখা (প্রশ্ন)?
আমি প্রতিদিন সকালে ঘুম থেকে উঠি।,আমি প্রতিদিন সকালে ঘুম থেকে উঠা।
আমি ধীর স্থির গান বেশি পছন্দ করি,আমি ধীর স্থির গান বেশি পছন্দ করা
জীবন থেকে শেখা উচিত।,জীবন থেকে শেখা উচিত।
আমি বাসে স্কুলে যাই।,আমি বাস স্কুল যেতে।
আমি ডাক্তার হতে চাই,আমি ডাক্তার হওয়া চাই
নতুন বন্ধু বানাতে আমি অনেক চেষ্টা করেছি।,আমি নতুন বন্ধু বানানো অনেক চেষ্টা করা শেষ।
আমি একজন ডাক্তার হতে চাই।,আমি ডাক্তার হতে চাই।
আমি আগামী বছর বিশ্ববিদ্যালয়ে পড়তে যাব।,আগামী বছর আমি বিশ্ববিদ্যালয় পড়া যেতে পরিকল্পনা।
আমি আজ ডিনার রান্না করেছি।,আমি আজ ডিনার রান্না করা শেষ।
ভালো আদর্শ মানুষ আমাদেরকে অনুপ্রাণিত করে।,ভালো আদর্শ মানুষ আমরা অনুপ্রাণিত করা
সময় ঠিকভাবে পরিকল্পনা করলে কাজ সহজ হয়।,"সময় ঠিকভাবে পরিকল্পনা করা, কাজ সহজ হওয়া"
আমি আজ বাজারে নতুন জামা কিনতে যাব।,আমি আজ বাজারে নতুন জামা কেনা যাওয়া।
আমি সাধারণত রাত দশটায় ঘুমাতে যাই।,আমি সাধারণত রাত দশটা ঘুমাতে যাওয়া।
আমার পোশাকের ধরন আলাদা।,আমার পোশাক ধরন আলাদা।
আমার বাবা স্কুলে কাজ করেন।,আমার বাবা স্কুল কাজ করা
আমি গতকাল একটি নতুন সিনেমা দেখেছি।,আমি গতকাল নতুন সিনেমা দেখা।
আমরা প্রতি বছর ছুটির দিনে পরিবারের সাথে খাই।,আমরা প্রতি বছর ছুটি দিন পরিবার সাথে খাওয়া।
বন আমাদের বাতাস পরিষ্কার রাখে।,বন আমাদের বাতাস পরিষ্কার রাখা
আমি বাজারে নতুন জামা কিনতে গিয়েছিলাম।,আমি বাজার নতুন জামা কিনা জন্য যাওয়া।
এই এলাকায় কোন হাসপাতাল আছে?,এখানে হাসপাতাল আছে (প্রশ্ন)?
পূজার সময় সবাই মন্দিরে যায়।,পূজা সময় সবাই মন্দির যাওয়া
আমি আগামী সপ্তাহে ঢাকা ভ্রমণ করতে যাচ্ছি।,আমি আগামী সপ্তাহ ঢাকা ভ্রমণ করা যাওয়া
সে বাসে স্কুলে যায়।,সে স্কুল বাসে যাওয়া।
স্কুলে পড়াশোনা করতে ভালো লাগে।,"স্কুলে পড়াশোনা করা, ভালো লাগা।"
বন খুব সুন্দর দেখাচ্ছে আজ,"বন খুব সুন্দর, আজ দেখা"
তুমি কি ফটোগ্রাফি করতে ভালোবাসো?,তুমি ফটোগ্রাফি করা পছন্দ (প্রশ্ন)?
তুমি কি এই সিনেমা দেখেছো?,তুমি এই সিনেমা দেখা কি?
"তুমি কি ধীরগতি গান পছন্দ করো, নাকি দ্রুতগতি গান?","তুমি ধীরগতি গান পছন্দ, না দ্রুতগতি গান?"
আমার বাবা শিক্ষক।,আমার বাবা শিক্ষক হওয়া।
জীবনে ভুল থেকে শিক্ষা নেওয়া খুব গুরুত্বপূর্ণ।,"জীবন ভুল থেকে শিক্ষা নেওয়া, খুব গুরুত্বপূর্ণ।"
আমি পুরস্কার পেয়েছি।,আমি পুরস্কার পাওয়া।
এখানে একটি নতুন হাসপাতাল তৈরি হয়েছে।,এখানে নতুন হাসপাতাল তৈরি হওয়া।
অনেক মানুষ সামাজিক মিডিয়া ব্যবহার করে।,অনেক মানুষ সামাজিক মিডিয়া ব্যবহার করা
আমি আজ ভাত রান্না করব।,আমি আজ ভাত রান্না করা।
পরিবেশ রক্ষা করা আমাদের সবার দায়িত্ব।,"পরিবেশ রক্ষা করা, আমাদের সবাই দায়িত্ব।"
তারা ছবি আঁকতে ভালোবাসে।,তারা ছবি আঁকা ভালোবাসা
সূর্য আজ উজ্জ্বলভাবে উদিত হয়েছে।,সূর্য উজ্জ্বল উঠে গেছে
আমি ফুটবল খেলতে ভালোবাসি।,আমি ফুটবল খেলা ভালোবাসা।
আমি আগামী সপ্তাহে ঢাকা যাব।,আমি আগামী সপ্তাহ ঢাকা যাওয়া।
টেলিভিশনে আজকের খবর নিয়ে আলোচনা হচ্ছে।,আজ টেলিভিশন খবর আলোচনা করা।
প্রতি দিন কাজের তালিকা তৈরি করলে উৎপাদনশীলতা বাড়তে পারে।,"উৎপাদনশীলতা বাড়ানো, প্রতিদিন কাজের তালিকা তৈরি করা, পারে।"
আমি এই সিনেমাটি পছন্দ করি।,আমি এই সিনেমা পছন্দ করা শেষ।
"শিক্ষকরা আমাদের অনেক কিছু শেখান, এবং সহপাঠীরা সবসময় সাহায্য করে।","শিক্ষক আমাদের শেখানো, সহপাঠী সাহায্য করা।"
বাঙালি নববর্ষে পান্তা-ইলিশ খাওয়া একটি প্রচলিত ঐতিহ্য।,বাঙালি নববর্ষ পান্তা ইলিশ খাওয়া প্রচলিত ঐতিহ্য
আমি আজ অফিসে গুরুত্বপূর্ণ একটি কাজ শেষ করেছি,আমি আজ অফিস কাজ গুরুত্বপূর্ণ শেষ করা
ছবির ভাল রং এবং আলো পেতে ভালো ক্যামেরা ব্যবহার করা উচিত,"ছবি ভালো রং আলো পাওয়া, ভালো ক্যামেরা ব্যবহার করা দরকার"
বাংলাদেশ ক্রিকেট দলটি গতকাল ভারতের বিরুদ্ধে একটি উত্তেজনাপূর্ণ ম্যাচ জিতেছে,বাংলাদেশ ক্রিকেট দল  গতকাল ভারত বিপক্ষে উত্তেজনা ম্যাচ  জেতা
আমি আজ বাসে স্কুলে যাব।,আমি আজ বাস স্কুল যাওয়া
আজকের সংবাদ নিয়ে সবাই আলোচনা করছে।,আজকের সংবাদ সবাই আলোচনা করা
নতুন দক্ষতা শিখতে আমি চেষ্টা করি।,আমি নতুন দক্ষতা শিখা চেষ্টা করা
তুমি কি পরীক্ষার জন্য প্রস্তুত?,তুমি পরীক্ষা প্রস্তুত হওয়া
ঈদে সবাই একসাথে খুশি ভাগ করে নেয়।,ঈদ সবাই একসাথে খুশি ভাগ করা নেওয়া
জীবনে কঠোর পরিশ্রম না করলে সফলতা আসবে না।,জীবন কঠোর পরিশ্রম না সফলতা না আসা
আমি পরীক্ষায় প্রথম হয়েছি।,আমি পরীক্ষায় প্রথম হওয়া
আমি রাতে খুব কম খাই।,আমি রাতে খাওয়া কম
আমি ভবিষ্যতে ডাক্তার হতে চাই।,আমি ভবিষ্যতে ডাক্তার হতে চাওয়া
ভবিষ্যতে আমি বিদেশে পড়াশোনা করতে চাই।,ভবিষ্যতে আমি বিদেশে পড়াশোনা করতে চাই
আমি আগামীকাল পরীক্ষা দেব।,আমি আগামীকাল পরীক্ষা দেওয়া
আমি আজ খুব দুঃখিত বোধ করছি।,আমি আজ খুব দুঃখিত বোধ করা
আপনার শিক্ষক কে?,আপনার শিক্ষক কে হওয়া
আমার মা আমার জন্য রান্না করেন।,আমার মা আমি জন্য রান্না করা
বিরক্ত লাগলে বই পড়তে পারো।,বিরক্ত লাগলে বই পড়া পারা
স্কুলে আমি নতুন বন্ধু পেয়েছি।,স্কুল আমি নতুন বন্ধু পাওয়া
আমি আজ খুব খুশি।,আমি আজ অনেক খুশি হওয়া
আমি অসুস্থ বোধ করছি।,আমি অসুস্থ বোধ করা
আমি জাতীয় পুরস্কার পেয়েছি।,আমি জাতীয় পুরস্কার পাওয়া
টাকা বাঁচাতে হবে।,টাকা বাঁচানো প্রয়োজন
আমি আজ স্কুলে পড়তে যাচ্ছি।,আমি আজ স্কুল পড়া যেতে
টাকা জমাতে আমাদের সবাইকে পরিকল্পনা করা উচিত।,টাকা জমাতে সবাই পরিকল্পনা করা উচিত
আমি আজ ভাত রান্না করেছি।,আজ আমি ভাত রান্না করা
আমার স্কুলে অনেক বন্ধু আছে।,আমার স্কুলে অনেক বন্ধু থাকা
বর্তমানে প্রযুক্তির ব্যবহার বাড়ছে।,এখন প্রযুক্তি ব্যবহার বাড়া
তুমি কি আজকের এসাইনমেন্ট জমা দিয়েছো?,তুমি আজ এসাইনমেন্ট জমা দেওয়া ?
আমি আজ নতুন ক্যামেরা দিয়ে ছবি তুলেছি।,আমি আজ নতুন ক্যামেরা দিয়ে ছবি তোলা
আজ খুব বৃষ্টি হচ্ছে।,আজ বৃষ্টি বেশি হওয়া
স্কুল শেষ হওয়ার পর আমি খেলতে যাই।,স্কুল শেষ হওয়া পর আমি খেলা যাওয়া
আমি এখনও আমার বাড়ির কাজ শেষ করিনি।,আমি আমার বাড়ির কাজ এখনও শেষ করা না
আমি গল্প লিখি।,আমি গল্প লেখা
আমি আগামী সপ্তাহে ঢাকা যাব।,আমি আগামী সপ্তাহ ঢাকা যাওয়া
গল্প লেখার জন্য কল্পনা শক্তি দরকার।,গল্প লেখা চাই কল্পনা শক্তি
আমি ভাত রান্না করছি।,আমি ভাত রান্না করা
আপনি কি ছবি তুলেছেন?,আপনি ছবি তোলা ?
বনে অনেক পাখি গান গায়।,বন অনেক পাখি গান গাওয়া
আমি আজ ডাক্তারের কাছে যাব।,আমি আজ ডাক্তার কাছে যাওয়া
বাসে করে অফিসে যাচ্ছি।,বাস অফিস যাওয়া
অবসর সময়ে কিছু করতে ইচ্ছা হয় না।,অবসর সময় কিছু করা ইচ্ছা না হওয়া
আমি প্রতিদিন সকাল সাতটায় ঘুম থেকে উঠি।,আমি প্রতিদিন সকাল সাতটা ঘুম থেকে উঠা
পোষা প্রাণীদের ভালোবাসা উচিত।,পোষা প্রাণী ভালোবাসা উচিত
আজকের অ্যাসাইনমেন্ট জমা দিতে হবে,আজ অ্যাসাইনমেন্ট জমা দেওয়া চাই
আমি এই পরীক্ষায় প্রথম হয়েছি।,পরীক্ষা আমি প্রথম হওয়া
আমার স্কুল বাড়ির পাশে।,আমার স্কুল বাড়ি পাশে
আমি আজকের বাড়ির কাজ শেষ করব।,আমি আজকের বাড়ির কাজ শেষ করা
এই এলাকায় একটি ছোট বাজার আছে।,এই এলাকা ছোট বাজার থাকা
আমি নিজের পোশাকের স্টাইল পছন্দ করি।,আমি নিজের পোশাক স্টাইল পছন্দ করা
আমি আজ স্কুলে যাব না,আমি আজ স্কুলে না যাওয়া
তিনি অফিসে প্রতিদিন রিপোর্ট লিখেন।,তিনি প্রতিদিন অফিস রিপোর্ট লিখা
আমার বাড়িতে একটি বিড়াল আছে।,আমার বাড়ি এক বিড়াল আছে
আপনি কখন ট্রেনে ঢাকা যাবেন?,আপনি কখন ট্রেন ঢাকা যেতে পারবেন ?
আমি নতুন দক্ষতা শিখতে চাই।,আমি নতুন দক্ষতা শিখতে চাই
পরীক্ষা কখন শুরু হবে?,পরীক্ষা কখন শুরু করা
আমি প্রতিদিন রাতে আট ঘণ্টা ঘুমাই।,আমি প্রতিদিন রাত আট ঘণ্টা ঘুমানো
আমি প্রতিদিন সকাল সাতটায় উঠি।,আমি প্রতিদিন সকাল সাতটা উঠা
পরিবেশ রক্ষায় গাছ লাগান।,পরিবেশ রক্ষা গাছ লাগানো
আমি বোর লাগলে বই পড়ি।,আমি বোর লাগলে বই পড়া
তুমি কীভাবে প্রতিদিন অফিসে যাও?,তুমি প্রতিদিন অফিস যাওয়া কিভাবে ?
ভবিষ্যতে আমি বিশ্ববিদ্যালয়ে পড়তে চাই।,ভবিষ্যত আমি বিশ্ববিদ্যালয় পড়া চাই
প্রতিদিন কাজের একটি তালিকা তৈরি করুন।,প্রতিদিন কাজ তালিকা তৈরি করা
চাপ কমানোর জন্য নিয়মিত ব্যায়াম করা প্রয়োজন।,চাপ কমানো নিয়মিত ব্যায়াম করা প্রয়োজন
খবর আলোচনা চলছে।,খবর আলোচনা চলা
আমাদের সমাজে সবাই একসাথে কাজ করে।,আমাদের সমাজ সবাই একসাথে কাজ করা
আমি প্রতিদিন সকালে ফল খাই।,আমি প্রতিদিন সকাল ফল খাওয়া
আমি প্রতিদিন স্কুলে পড়তে যাই।,আমি প্রতিদিন স্কুল পড়া যাওয়া
আমি রাতে শুতে যাই।,আমি রাতে শুতে যাওয়া
আমার সবচেয়ে প্রিয় স্মৃতিটা হলো যখন আমরা সবাই একসাথে ভ্রমণে গিয়েছিলাম।,আমার সবচেয়ে প্রিয় স্মৃতি আমরা সবাই একসাথে ভ্রমণ করা
আমি ছবি তোলার জন্য ক্যামেরা ব্যবহার করি।,আমি ক্যামেরা ছবি তোলা ব্যবহার করা
আজ আকাশে মেঘ আছে।,আজ আকাশ মেঘ থাকা
সময় ঠিকভাবে ব্যবস্থাপনা করা গুরুত্বপূর্ণ।,সময় ঠিকভাবে ব্যবস্থাপনা করা গুরুত্বপূর্ণ
শিক্ষকরা আমাদের পড়ান।,শিক্ষক আমাদের পড়ানো
রাশিয়া এবং চীন একটি নতুন বাণিজ্য চুক্তি স্বাক্ষর করেছে।,রাশিয়া চীন নতুন বাণিজ্য চুক্তি স্বাক্ষর করা
ফ্যাশন ট্রেন্ড দ্রুত পরিবর্তন হয়।,ফ্যাশন ট্রেন্ড দ্রুত পরিবর্তন হওয়া
আপনি কি নতুন দক্ষতা শিখতে চান?,আপনি নতুন দক্ষতা শিখতে চান ?
ছবি আঁকা আমাদের সৃজনশীল কাজ।,ছবি আঁকা আমাদের সৃজনশীল কাজ
আমার মা আমার প্রধান রোল মডেল।,আমার মা আমার প্রধান রোল মডেল
স্কুল শেষে আমি বন্ধুদের সঙ্গে খেলতে যাই।,স্কুল শেষ আমি বন্ধু সঙ্গে খেলা যাওয়া
সামাজিক মাধ্যমে মানুষ বিভিন্ন তথ্য শেয়ার করে।,সামাজিক মাধ্যম মানুষ বিভিন্ন তথ্য শেয়ার করা
"আমি খুব বোরিং লাগছে, কী করা যায়?",আমি খুব বোরিং লাগছে কী করা যাওয়া
আমি প্রতিদিন ভিডিও গেম খেলি।,আমি প্রতিদিন ভিডিও গেম খেলা
আমি আজ স্কুলে অনেক নতুন কিছু শিখেছি।,আমি আজ স্কুলে নতুন অনেক কিছু শিখা
আজ আকাশে মেঘ আছে।,আজ আকাশ মেঘ আছে
আমি বিভিন্ন ধরনের গান শুনতে পছন্দ করি।,আমি বিভিন্ন ধরনের গান শুনতে পছন্দ
বাংলাদেশ ক্রিকেট দল বিশ্বকাপে খেলছে।,বাংলাদেশ ক্রিকেট দল বিশ্বকাপে খেলা চলছে
আমি নতুন বন্ধু বানাতে চাই।,আমি নতুন বন্ধু বানানো চাই
সে আজ খুব খুশি অনুভব করছে।,সে আজ খুব খুশি অনুভব করা
আমাদের পাড়ায় অনেক মানুষ বাস করে।,আমাদের পাড়া অনেক মানুষ বাস করা
নতুন প্রযুক্তি আমাদের জীবন সহজ করেছে।,নতুন প্রযুক্তি আমাদের জীবন সহজ করা
আজ আকাশে মেঘ আছে কি?,আজ আকাশ মেঘ আছে ?
আমি এই সিনেমাটি পছন্দ করি।,আমি এই সিনেমা পছন্দ করা
আমি রোজ অফিসে বাসে যাই।,আমি প্রতিদিন অফিস বাসে যাওয়া
পরিবেশ রক্ষা করা আমাদের দায়িত্ব।,পরিবেশ রক্ষা করা আমাদের দায়িত্ব
ভাল আদর্শ মানুষকে অনুপ্রাণিত করে।,ভাল আদর্শ মানুষ অনুপ্রাণিত করা
আমি নতুন বই পড়তে ভালোবাসি।,আমি নতুন বই পড়া ভালোবাসি
আমি অবসর সময়ে গান শুনতে ভালোবাসি।,আমি অবসর সময় গান শোনা ভালোবাসা
অনেক মানুষ আজকাল নানা কাজে অ্যাপ ব্যবহার করে।,অনেক মানুষ আজকাল নানা কাজ অ্যাপ ব্যবহার করা
টাকা জমানো ভালো অভ্যাস।,টাকা জমানো ভালো অভ্যাস
আমার মতে এই বইটি খুবই ভালো।,আমার মতে এই বই খুব ভালো
ফ্যাশনের বিভিন্ন স্টাইল সময়ের সাথে পরিবর্তিত হয়।,ফ্যাশন বিভিন্ন স্টাইল সময় পরিবর্তিত হওয়া
ভিডিও গেমস খেলা অনেক মানুষের জন্য মজার কাজ।,ভিডিও গেমস খেলা অনেক মানুষ জন্য মজা কাজ
নতুন দক্ষতা শেখা আমার জন্য গুরুত্বপূর্ণ।,আমার জন্য নতুন দক্ষতা শেখা গুরুত্বপূর্ণ
কম্পিউটার আমাদের দৈনন্দিন জীবনে গুরুত্বপূর্ণ ভূমিকা রাখে।,কম্পিউটার আমাদের দৈনন্দিন জীবন গুরুত্বপূর্ণ ভূমিকা রাখা
তুমি কোন সিনেমা দেখতে পছন্দ করো?,তুমি কোন সিনেমা দেখতে পছন্দ করা
আমি সাধারণত রঙিন পোশাক পরতে পছন্দ করি।,আমি সাধারণত রঙিন পোশাক পরা পছন্দ করা
বাংলাদেশে বিভিন্ন উৎসব ঐতিহ্যবাহীভাবে পালন করা হয়।,বাংলাদেশ বিভিন্ন উৎসব ঐতিহ্যবাহীভাবে পালন করা
তুমি কি ভাত রান্না করতে পারবে?,তুমি ভাত রান্না করা পারা ?
অক্টোপাসের তিনটি হৃদয় থাকে।,অক্টোপাস তিন হৃদয় থাকা
আমার শৈশবের স্মৃতিগুলো আমার খুব প্রিয়।,আমার শৈশব স্মৃতি আমার খুব প্রিয়
আমি সোশ্যাল মিডিয়ায় ছবি পোস্ট করি।,আমি সোশ্যাল মিডিয়া ছবি পোস্ট করা
আমার লক্ষ্য প্রতিদিন সকালে উঠে পড়াশোনা করা।,আমার লক্ষ্য প্রতিদিন সকাল উঠা পড়াশোনা করা
শৈশবের প্রিয় স্মৃতিগুলো আজও মনে পড়ে।,শৈশব প্রিয় স্মৃতি আজও মনে পড়া
আমি ভবিষ্যতে ডাক্তার হতে চাই।,আমি ভবিষ্যত ডাক্তার হওয়া চাওয়া
নতুন দক্ষতা শেখা কঠিন মনে হয়?,নতুন দক্ষতা শেখা কঠিন মনে হয় ?
আমি নতুন ছবি আঁকতে ভালোবাসি।,আমি নতুন ছবি আঁকা ভালোবাসি
আমি গল্প লিখি,আমি গল্প লেখা
তাঁরা আমাদের জন্য অনুপ্রেরণা।,তারা আমাদের জন্য অনুপ্রেরণা
ছুটির দিনে আমরা পায়েস রান্না করি।,ছুটি দিন আমরা পায়েস রান্না করা
আমি আজ বই পড়ব।,আমি আজ বই পড়া
নিজের সময় ঠিকমতো ব্যবস্থাপনা করলে উৎপাদনশীলতা বাড়তে পারে।,সময় ঠিকমতো ব্যবস্থাপনা করা উৎপাদনশীলতা বাড়া পারে
বাংলাদেশে বিভিন্ন সাংস্কৃতিক ঐতিহ্য পালিত হয়।,বাংলাদেশ বিভিন্ন সাংস্কৃতিক ঐতিহ্য পালন করা
আমি প্রতিদিন অনেক অ্যাপ ব্যবহার করি।,আমি প্রতিদিন অনেক অ্যাপ ব্যবহার করা
আজ আকাশে মেঘ আছে।,আজ আকাশ মেঘ থাকা
আমি বাসে করে স্কুলে যাই।,আমি বাসে স্কুলে যাওয়া
সময় ঠিকভাবে ব্যবস্থাপনা করা প্রয়োজন।,সময় ঠিকভাবে ব্যবস্থাপনা করা প্রয়োজন
জাতিসংঘ আজ বৈঠক করেছে।,জাতিসংঘ আজ বৈঠক করা
তুমি কখন খাবার খাও?,তুমি কখন খাবার খাওয়া ?
আমি নতুন ভিডিও গেম খেলতে চাই।,আমি নতুন ভিডিও গেম খেলতে চাই
ছুটির দিনে আমরা পিঠা বানাই।,ছুটি দিন আমরা পিঠা বানানো
আমি গল্প লিখতে ভালোবাসি।,আমি গল্প লেখা ভালোবাসা
বনে অনেক গাছ ও পাখি আছে।,বন অনেক গাছ পাখি থাকা
তারা আজ রাতে সিনেমা দেখবে।,তারা আজ রাত সিনেমা দেখা
কম্পিউটার আমাদের কাজ সহজ করে।,কম্পিউটার আমাদের কাজ সহজ করা
আমাদের সমাজে সবাইকে সহযোগিতা করতে হবে।,আমাদের সমাজ সবাই সহযোগিতা করা হবে
তুমি কি প্রতিদিন নাস্তা করো?,তুমি প্রতিদিন নাস্তা করা প্রশ্ন
পূজার সময় মন্দিরে অনেক মানুষ জড়ো হয়।,পূজা সময় মন্দির অনেক মানুষ জড়ো হওয়া
বনের গাছপালা আমাদের পরিবেশের জন্য গুরুত্বপূর্ণ।,বন গাছপালা আমাদের পরিবেশ জন্য গুরুত্বপূর্ণ
পাখিরা সকালে গান গায়।,পাখি সকাল গান গাওয়া
আমার বাবা আমার আদর্শ।,আমার বাবা আমার আদর্শ
আমি ভিডিও গেম খেলতে ভালোবাসি।,আমি ভিডিও গেম খেলতে ভালোবাসা
আপনি কি ছবি আঁকতে ভালোবাসেন?,আপনি ছবি আঁকা ভালোবাসেন ?
বন থেকে অনেক পাখির ডাক শোনা যায়।,বন থেকে অনেক পাখি ডাক শোনা যায়
আমি উচ্চতর শিক্ষা গ্রহণ করতে চাই।,আমি উচ্চতর শিক্ষা গ্রহণ করা চাই
আজকের খবর নিয়ে আলোচনা হচ্ছে,আজ খবর আলোচনা হচ্ছে
আমি আজ নতুন ক্যামেরা দিয়ে ছবি তুলেছি।,আমি আজ নতুন ক্যামেরা দিয়ে ছবি তোলা
তুমি কোন কোন মোবাইল অ্যাপ ব্যবহার করো?,তুমি কোন কোন মোবাইল অ্যাপ ব্যবহার করা
প্রতিদিন সময় ঠিকভাবে ব্যবস্থাপনা করলে কাজের দক্ষতা বাড়ে।,প্রতিদিন সময় ঠিকভাবে ব্যবস্থাপনা করা কাজ দক্ষতা বাড়া
আমি প্রতিদিন স্কুলে পড়তে যাই।,আমি প্রতিদিন স্কুল পড়া যাওয়া
স্কুল শেষ হওয়ার পর তুমি কী করো?,স্কুল শেষ পর তুমি কী করা ?
স্কুল শেষে আমি খেলতে যাই।,স্কুল শেষ আমি খেলা যেতে
আমি প্রতিদিন সকালে ঘুম থেকে উঠি।,আমি প্রতিদিন সকাল ঘুম থেকে উঠা
হাতি পৃথিবীর সবচেয়ে বড় স্থলজ প্রাণী।,হাতি পৃথিবী বড় স্থলজ প্রাণী
আমার শিক্ষক খুব সহায়ক।,আমার শিক্ষক খুব সহায়ক
আমি স্কুলে পড়ি।,আমি স্কুল পড়া
আমি আজ রাতে একটি গল্প লিখব।,আমি আজ রাত গল্প লিখা
আমার বাড়ির পাশে একটি বাজার আছে।,আমার বাড়ি পাশে একটি বাজার আছে
আমি মোবাইল অ্যাপ ডাউনলোড করতে চাই।,আমি মোবাইল অ্যাপ ডাউনলোড করতে চাই
আমি স্কুলে পড়তে যাই।,আমি স্কুল পড়া যাওয়া
পহেলা বৈশাখে সবাই নতুন কাপড় পরে আনন্দ করে।,পহেলা বৈশাখে সবাই নতুন কাপড় পরা আনন্দ করা
আমি উচ্চ শব্দে গান শুনতে ভালোবাসি।,আমি উচ্চ শব্দ গান শুনতে ভালোবাসা
জীবনের কঠিন সময় থেকে অনেক কিছু শেখা যায়।,জীবন কঠিন সময় অনেক কিছু শেখা যায়
আমি বাসে বিদ্যালয়ে যাই।,আমি বাস বিদ্যালয় যাওয়া
পহেলা বৈশাখ বাংলাদেশের ঐতিহ্যবাহী উৎসব।,পহেলা বৈশাখ বাংলাদেশ ঐতিহ্যবাহী উৎসব
আমি প্রতিদিন বই পড়ি।,আমি প্রতিদিন বই পড়া
জাতিসংঘে নতুন সদস্য গ্রহণ করা হয়েছে।,জাতিসংঘ নতুন সদস্য গ্রহণ করা হয়েছে
আমি অবসর সময়ে ছবি আঁকতে ভালোবাসি।,আমি অবসর সময় ছবি আঁকা ভালোবাসা
পাখিরা গাছে বসে গান গাইছে।,পাখি গাছ বসা গান গাওয়া হচ্ছে
